Edwards County Community Unit School District 1,NA
Edwardsville Community Unit School District 7,http://www.ecusd7.org/
Edwd Gltn Hdin Pop Slne Wbh Wn Wh School District,NA
Effingham Community Unit School District 40,NA
Egyptian Community Unit School District 5,NA
Eisenhower Cooperative School District,NA
El Paso-Gridley Community Unit School District 11,NA
Eldorado Community Unit School District 4,NA
Elmhurst School District 205,NA
Elmwood Community Unit School District 322,NA
Elmwood Park Community Unit School District 401,http://www.epcusd401.org/
Elverado Community Unit School District 196,NA
Elwood Community Consolidated School District 203,http://www.elwoodschool.com/
Emmons School District 33,http://www.emmons.lake.k12.il.us/
Erie Community Unit School District 1,http://www.erie1.info/
Esd 159 School District,NA
Eswood Central Consolidated School District 269,NA
Eureka Community Unit School District 140,NA
Evanston Central Consolidated School District 65,http://www.district65.net/
Evanston Dists 65 202 Jnt Agr,NA
Evanston Twp Hsd 202 School District,http://www.eths.k12.il.us/
Evergreen Park Chsd 231 School District,NA
Evergreen Park Esd 124 School District,NA
Ewing Northern Central Consolidated School District 115,NA
Exc Children Have Opportunities,NA
Fairfield Comm High School District 225,NA
Fairfield Public School District 112 School District,NA
Fairmont School District 89,NA
Fairview School District 72,http://www.fairview.k12.il.us/
Farmington Central Community Unit School District 265,NA
Farrington Central Consolidated School District 99,NA
Fenton Chsd 100 School District,http://www.fenton100.org/
Field Central Consolidated School District 3,NA
Fieldcrest Community Unit School District 6,NA
Fisher Community Unit School District 1,NA
Flanagan-Cornell District  74,NA
Flora Community Unit School District 35,NA
Flossmoor School District 161,NA
Ford Heights School District 169,NA
Forest Park School District 91,NA
Forest Ridge School District 142,NA
Forrestville Valley Community Unit School District 221,NA
Four Rivers Special Education District,NA
Fox Lake Grade School District 114 School District,http://www.foxlake114.org
Fox River Grove Cons School District 3,http://www.dist3.org/
Frankfort Central Consolidated School District 157c,NA
Frankfort Community Unit School District 168,NA
Franklin Community Unit School District 1,NA
Franklin Park School District 84,http://www.d84.org/
Franklin Williamson Regional Office Of Education,NA
Franklin-Jefferson County Special Education District,NA
Freeburg Central Consolidated School District 70,NA
Freeburg Chsd 77 School District,http://www.fchs77.org/
Freeport School District 145,NA
Fremont School District 79,http://www.fsd79.org/
Fulton Hancock McDonough Schuyler Regional Office of Education,NA
Galatia Community Unit School District 1,NA
Galena Community Unit School District 120,NA
Galesburg Community Unit School District 205,NA
Gallatin Community Unit School District 7,NA
Galva Community Unit School District 224,NA
Gardner Central Consolidated School District 72c,NA
Gardner S Wilmington Twp Hsd 73 School District,NA
Gavin School District 37,http://www.gavin37.org/
Geff Central Consolidated School District 14,NA
Gen George Patton School District 133,NA
Geneseo Community Unit School District 228,http://www.dist228.org/
Geneva Community Unit School District 304,NA
Genoa Kingston Community Unit School District 424,NA
Georgetown-Ridge Farm Community Unit School District 4,NA
Germantown Hills School District 69,NA
Germantown School District 60,http://germantownbulldogs.org/
Giant City Central Consolidated School District 130,NA
Gibson City-Melvin-Sibley Community Unit School District 5,NA
Gifford Central Consolidated School District 188,NA
Gillespie Community Unit School District 7,NA
Glen Ellyn School District 41,NA
Glenbard Twp Hsd 87 School District,NA
Glencoe School District 35,http://www.glencoeschools.org/
Glenview Central Consolidated School District 34,http://www.glenview34.org/
Golf Esd 67 School District,http://www.golf67.net/
Goreville Community Unit School District 1,NA
Gower School District 62,NA
Grand Prairie Central Consolidated School District 6,NA
Grand Ridge Central Consolidated School District 95,NA
Granite City Community Unit School District 9,NA
Grant Central Consolidated School District 110,http://www.dist110.com/
Grant Chsd 124 School District,http://www.grant.lake.k12.il.us/
Grant Park Community Unit School District 6,http://www.grantpark.k12.il.us
Grass Lake School District 36,http://www.grasslake.lake.k12.il.us/
Grayslake Central Consolidated School District 46,http://www.d46.k12.il.us/
Grayslake Chsd 127 School District,http://www.d127.org/
Grayville Community Unit School District 1,NA
Greenfield Community Unit School District 10,NA
Greenview Community Unit School District 200,NA
Griggsville-Perry Community Unit School District 4,NA
Grundy Kendall Regional Office Of Education,NA
Gurnee School District 56,http://d56.org/
Hall Hsd 502 School District,NA
Hamilton Central Consolidated School District 328,NA
Hamilton County Community Unit School District 10,NA
Hampton School District 29,http://hampton29.com/education/school/school.php?sectionid=3
Hardin County Community Unit School District 1,NA
Harlem Ud 122 School District,http://www.harlem122.org/education/district/district.php?sectionid=1
Harmony Emge School District 175,http://www.harmony175.org/
Harrisburg Community Unit School District 3,NA
Harrison School District 36,http://www.hsd36.org/
Hartsburg Emden Community Unit School District 21,NA
Harvard Community Unit School District 50,NA
Harvey School District 152,NA
Havana Community Unit School District 126,NA
Hawthorn Central Consolidated School District 73,http://www.hawthorn73.org
Hazel Crest School District 152-5,NA
Henderson Mercer Warren Regional Office Of Education,NA
Henry-Senachwine Community Unit School District 5,NA
Henry-Stark County Special Education District,http://www.hscsed.org/
Heritage Community Unit School District 8,NA
Herrin Community Unit School District 4,NA
Herscher Community Unit School District 2,NA
Heyworth Community Unit School District 4,NA
Hiawatha Community Unit School District 426,NA
High Mount School District 116,http://www.highmountschool.com/
Highland Community Unit School District 5,http://www.highlandcusd5.org/pages/HighlandCUSD5
Hillsboro Community Unit School District 3,NA
Hillside School District 93,NA
Hinckley Big Rock Community Unit School District 429,NA
Hinsdale Central Consolidated School District 181,NA
Hinsdale Twp Hsd 86 School District,NA
Hollis Cons School District 328,NA
Homer Central Consolidated School District 33c,NA
Homewood Flossmoor Chsd 233 School District,NA
Homewood School District 153,NA
Hononegah Chd 207 School District,NA
Hoopeston Area Community Unit School District 11,NA
Hoover-Schrum Memorial School District 157,NA
Horizon Science Acad-Belmont,NA
Horizon Science Acad-Mckinley Pk,NA
Huntley Comm Sch District 158,NA
Hutsonville Community Unit School District 1,NA
Il Dept Of Chldrn And Family Svcs,NA
Il Mathematics & Science Academy,NA
Il Valley Central Community Unit School District 321,NA
Illini Bluffs Community Unit School District 327,NA
Illini Central Community Unit School District 189,NA
Illini West H  School District  307,NA
Ina Central Consolidated School District 8,NA
Indian Creek Community Unit School District 425,NA
Indian Prairie Community Unit School District 204,NA
Indian Springs School District 109,NA
Iroquois County Community Unit School District 9,NA
Iroquois Kankakee Regional Office Of Education,NA
Iroquois Special Education,NA
Iroquois West Community Unit School District 10,NA
Irvington Central Consolidated School District 11,NA
Isu  Laboratory Schools,NA
Itasca School District 10,http://www.itascaschools.com/
Iuka Central Consolidated School District 7,NA
J S Morton Hsd 201 School District,NA
Jacksonville School District 117,NA
Jamp Special Education Services,NA
Jasper Central Consolidated School District 17,NA
Jasper County Community Unit School District 1,NA
Jersey Community Unit School District 100,NA
Johnsburg Community Unit School District 12,http://www.johnsburg12.org/
Johnston City Community Unit School District 1,http://www.jcindians.org
Joliet Public School District 86 School District,NA
Joliet Township Hsd 204 School District,NA
Joppa-Maple Grove Ud 38  School District,NA
Kane Regional Office Of Education,NA
Kaneland Community Unit School District 302,NA
Kankakee Area Special Education Cooperative,NA
Kankakee School District 111,NA
Kansas Community Unit School District 3,NA
Kaskaskia Special Education District,NA
Keeneyville School District 20,http://www.esd20.org/
Kell Cons School District 2,NA
Kenilworth School District No. 38,http://www.kenilworth38.org
Kewanee Community Unit School District 229,NA
Kildeer Countryside Central Consolidated School District 96,http://www.district96.k12.il.us/
Kings Cons School District 144,NA
Kinnikinnick Central Consolidated School District 131,NA
Kirby School District 140,NA
Knox Regional Office Of Education,NA
Knoxville Community Unit School District 202,NA
Komarek School District 94,NA
La Grange School District 102,NA
La Grange School District 105 South,NA
La Harpe Community School District 347,NA
La Moille Community Unit School District 303,NA
La Salle Esd 122 School District,NA
La Salle Regional Office Of Education,NA
La Salle-Peru Twp Hsd 120 School District,NA
Ladd Central Consolidated School District 94,NA
Lagrange Area Dept Special Education-Ladse,NA
Lagrange Highlands School District 106,NA
Lake Bluff Esd 65 School District,http://www.lb65.org/
Lake Forest Chsd 115 School District,http://www.lfhs.org/
Lake Forest School District 67,http://www.lf67.org/
Lake Park Chsd 108 School District,http://www.lphs.org/
Lake Regional Office Of Education,http://www.lake.k12.il.us/
Lake Villa Central Consolidated School District 41,http://www.district41.org/
Lake Zurich Community Unit School District 95,http://www.lz95.org/
Lansing School District 158,NA
Laraway Central Consolidated School District 70c,NA
Lasalle Putnam Alliance,NA
Lawrence County Community Unit School District 20,NA
LEARN 9 Campus in Waukegan,NA
Lebanon Community Unit School District 9,http://www.lcusd9.org/
Lee Ogle Regional Office Of Education,NA
Leland Community Unit School District 1,NA
Lemont Twp Hsd 210 School District,NA
Lemont-Bromberek Community School District 113a,NA
Lena Winslow Community Unit School District 202,NA
Leroy Community Unit School District 2,NA
Lewistown Community Unit School District 97,NA
Lexington Community Unit School District 7,NA
Leyden Chsd 212 School District,http://www.leyden212.org/
Liberty Community Unit School District 2,NA
Libertyville School District 70,http://www.d70.k12.il.us/
Lick Creek Central Consolidated School District 16,NA
Limestone Chsd 310 School District,NA
Limestone Walters Central Consolidated School District 316,NA
Lincoln Chsd 404 School District,NA
Lincoln Esd 156 School District,NA
Lincoln Esd 27 School District,NA
Lincoln Way Chsd 210 School District,NA
Lincoln-Way Area Special Education Ja District,NA
Lincolnshire-Prairieview School District 103,http://www.d103.org
Lincolnwood School District 74,http://sd74.org/
Lindop School District 92,NA
Lisbon Central Consolidated School District 90,NA
Lisle Community Unit School District 202,NA
Litchfield Community Unit School District 12,NA
Livingston County Special Services Unit,NA
Lockport School District 91,NA
Lockport Twp Hsd 205 School District,NA
Lombard School District 44,NA
Lostant Community Unit School District 425,NA
Lowpoint-Washburn Community Unit School District 21,NA
Ludlow Central Consolidated School District 142,NA
Lyons School District 103,NA
Lyons Twp Hsd 204 School District,NA
Macomb Community Unit School District 185,NA
Macon Piatt Regional Office Of Education,NA
Macon-Piatt Special Education Jnt Agr,NA
Madison Community Unit School District 12,http://www.madisoncusd12.org/
Madison Regional Office Of Education,http://www.madison.k12.il.us/
Maercker School District 60,NA
Mahomet-Seymour Community Unit School District 3,NA
Maine Township Hsd 207 School District,http://www.maine207.org/
Malden Central Consolidated School District 84,NA
Manhattan School District 114,NA
Mannheim School District 83,http://www.d83.org/
Manteno Community Unit School District 5,NA
Marengo Chsd 154 School District,NA
Marengo-Union E Cons D 165 School District,NA
Marion Community Unit School District 2,NA
Marissa Community Unit School District 40,http://www.marissa40.org/
Maroa Forsyth Community Unit School District 2,NA
Marquardt School District 15,NA
Marseilles Esd 150 School District,NA
Marshall Community Unit School District 2c,NA
Marshall Putnam Woodford Regional Office Of Education,NA
Martinsville Community Unit School District 3c,NA
Mascoutah Community Unit School District 19,http://mascoutah.il.schoolwebpages.com/education/district/district.php?sectionid=5864
Massac Ud 1 School District,NA
Matteson Esd 162 School District,NA
Mattoon Community Unit School District 2,NA
Maywood-Melrose Park-Broadview 89,NA
Mazon-Verona-Kinsman Esd 2c School District,NA
Mcclellan Central Consolidated School District 12,NA
Mchenry Central Consolidated School District 15,http://www.d15.org/
Mchenry Chsd 156 School District,http://www.dist156.org/
Mchenry Regional Office Of Education,NA
Mclean County Community Unit School District 5,NA
Medinah School District 11,http://www.medinah.dupage.k12.il.us/
Mendota Central Consolidated School District 289,NA
Mendota Twp Hsd 280 School District,NA
Mercer County School District 404,NA
Meredosia-Chambersburg Community Unit School District 11,NA
Meridian Community Unit School District 101,NA
Meridian Community Unit School District 15,NA
Meridian Community Unit School District 223,NA
Metamora Central Consolidated School District 1,NA
Mid-Valley Special Education Cooperative,NA
Midland Community Unit School District 7,NA
Midlothian School District 143,NA
Midwest Central Community Unit School District 191,NA
Milford Area PSD 124,NA
Millburn Central Consolidated School District 24,http://www.millburn.lake.k12.il.us/
Miller Twp Central Consolidated School District 210,NA
Millstadt Central Consolidated School District 160,http://www.millstadt.stclair.k12.il.us/
Minooka Central Consolidated School District 201,NA
Minooka Chsd 111 School District,NA
Mokena School District 159,NA
Moline Usd 40,http://www.moline.lth2.k12.il.us
Momence Community Unit School District 1,NA
Monmouth-Roseville Community Unit School District 238,NA
Monroe Randolph Regional Office Of Education,http://www.roe45.org/roe45/
Monroe School District 70,NA
Monticello Community Unit School District 25,NA
Montmorency Central Consolidated School District 145,NA
Morris Chsd 101 School District,NA
Morris School District 54,NA
Morrison Community Unit School District 6,NA
Morrisonville Community Unit School District 1,NA
Morton Community Unit School District 709,NA
Morton Grove School District 70,http://www.mgsd70.org/
Mount Olive Community Unit School District 5,NA
Mount Prospect School District 57,http://www.d57.org/
Mount Vernon School District 80,NA
Mt Pulaski Community Unit School District 23,NA
Mt Vernon Twp Hsd 201 School District,NA
Mt Zion Community Unit School District 3,NA
Mulberry Grove Community Unit School District 1,NA
Mundelein Esd 75 School District,http://www.d75.lake.k12.il.us/
Mundelein High School District 120,NA
Murphysboro Community Unit School District 186,http://www.cusd186.org
N Pekin & Marquette Hght School District 102,NA
Naperville Community Unit School District 203,NA
Nashville Central Consolidated School District 49,NA
Nashville Chsd 99 School District,NA
Nauvoo-Colusa Community Unit School District 325,NA
Neoga Community Unit School District 3,NA
Nettle Creek Central Consolidated School District 24c,NA
New Athens Community Unit School District 60,http://www.na60.org/
New Berlin Community Unit School District 16,NA
New Holland-Middletown Education 88 School District,NA
New Hope Central Consolidated School District 6,NA
New Lenox School District 122,NA
New Simpson Hill School District 32,NA
New Trier Twp Hsd 203 School District,http://www.newtrier.k12.il.us/
Newark Central Consolidated School District 66,NA
Newark Chsd 18 School District,NA
Niles Esd 71 School District,http://www.culver71.net/
Niles Twp Chsd 219 School District,http://www.niles-hs.k12.il.us/
Niles Twp District For Special Education,http://www.ntdse.k12.il.us/
Nippersink School District 2,http://www.nippersinkdistrict2.org/
Nokomis Community Unit School District 22,NA
Norridge School District 80,http://www.norridge80.org/
Norris City-Omaha-Enfield Community Unit School District 3,NA
North Boone Community Unit School District 200,NA
North Chicago School District 187,http://d187.org/
North Clay Community Unit School District 25,NA
North Dupage Special Education Cooperative,http://www.ndsec.org/
North Greene Community Unit School District 3,NA
North Mac Community Unit School District 34,NA
North Palos School District 117,NA
North Shore School District 112,http://www.nssd112.org/
North Wamac School District 186,NA
North Wayne Community Unit School District 200,NA
Northbrook Esd 27 School District,http://www.northbrook27.k12.il.us/
Northbrook Glenview School District 30,http://www.district30.k12.il.us/
Northbrook School District 28,http://www.northbrook28.net/
Northern Suburban Special Education District,NA
Northfield Twp Hsd 225 School District,http://www.glenbrook225.org/
Northwest Special Education Cooperative,NA
Northwestern Community Unit School District 2,NA
Norwood Esd 63 School District,NA
NW Suburban Special Education Org,http://www.nsseo.org/
O Fallon Central Consolidated School District 90,http://www.of90web.net/education/components/scrapbook/default.php?sectionid=1&url_redirect=1
